№ області;Назва області(eng);Назва області(укр)
1;Chercasy;Черкаська
2;Chernigiv;Чернігівська
3;Chernivtsy;Чернівецька
4;Crimea;Республіка Крим
5;Dnipripetrovs'k;Дніпропетровська
6;Donets'k;Донецька
7;Ivano-Frankivs'k;Франківська
8;Kharkiv;Харківська
9;Kherson;Херсонська
10;Khmel'nyts'k;Хмельницька
11;Kiev;Київська
12;Kiev City; Київ
13;Kirovograd;Кіровоградська
14;Luhans'k;Луганська
15;L'viv;Львівська
16;Mykolayiv;Миколіївська
17;Odessa;Одеська
18;Poltava;Полтівська
19;Rivne;Рівненька
20;Sevastopol';Севастополь
21;Sumy;Сумська
22;Ternopil';Тернопільська
23;Transcarpathia;Закарпатська
24;Vinnytsya;Вінницька
25;Volyn;Волинська
26;Zaporizhzhya;Запорізька
27;Zhutomyr;Житомирська
